Country,Rank,population_total,manpower_available,manpower_fit_for_service,manpower_reaching_age_annually,manpower_active,manpower_reserve_active,manpower_paramilitary,aircraft_total,aircraft_total_fighters,aircraft_total_attack_types,aircraft_total_transports,aircraft_total_trainers,aircraft_total_special_mission,aircraft_total_tanker_fleet,aircraft_helicopters_total,aircraft_helicopters_attack,armor_tanks_total,armor_apc_total,armor_self_propelled_guns_total,armor_towed_artillery_total,armor_mlrs_total,navy_ships,navy_aircraft_carriers,navy_helo_carriers,navy_submarines,navy_destroyers,navy_frigates,navy_corvettes,navy_patrol_coastal_craft,navy_mine_warfare_craft,defense_spending_budget,external_debt,purchasing_power_parity,reserves_of_foreign_exchange_and_gold,major_serviceable_airports,labor_force,major_ports_and_terminals,railway,roadway,oil_production,oil_consumption,proven_oil_reserves,natural_gas_production,natural_gas_consumption,proven_natural_gas_reserves,coal_production,coal_consumption,proven_coal_reserves,square_land_area,coastline,border,waterway
Cambodia,83,17063669.0,8190561.0,5733393.0,307146.0,124300.0,0.0,10000.0,24.0,0.0,0.0,4.0,0.0,0.0,0.0,20.0,0.0,520.0,5439.0,30.0,525.0,521.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,750000000.0,8019000000.0,123676000000.0,22506000000.0,12.0,9904000.0,2.0,642.0,61810.0,0.0,77000.0,0.0,0.0,0.0,0.0,27000.0,4390000.0,0.0,181035.0,443.0,2530.0,3700.0
Kenya,84,58246378.0,21551160.0,14037377.0,931942.0,50000.0,0.0,25000.0,154.0,17.0,0.0,21.0,30.0,2.0,0.0,84.0,2.0,188.0,9114.0,18.0,53.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,1651803025.0,31451000000.0,328632000000.0,10067000000.0,368.0,23781000.0,4.0,3819.0,161452.0,0.0,113000.0,0.0,0.0,0.0,0.0,0.0,1453000.0,0.0,580367.0,536.0,3457.0,0.0
Chad,85,19093595.0,6873694.0,3856906.0,381872.0,37750.0,0.0,5000.0,40.0,0.0,7.0,7.0,8.0,2.0,0.0,16.0,3.0,90.0,4345.0,10.0,13.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,706800000.0,2286000000.0,52895000000.0,1050000000.0,44.0,6600000.0,0.0,0.0,40000.0,124000.0,15000.0,1500000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1284000.0,0.0,6406.0,12400.0
Oman,86,3901992.0,1482757.0,1291559.0,50726.0,100000.0,0.0,10000.0,128.0,29.0,10.0,9.0,45.0,4.0,0.0,31.0,0.0,264.0,11380.0,24.0,144.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,0.0,8364000000.0,55986700000.0,193591000000.0,18287000000.0,37.0,2696000.0,7.0,0.0,60230.0,1056000.0,218000.0,5375000000.0,40754000000.0,27364000000.0,651287000000.0,0.0,82000.0,0.0,309500.0,2092.0,1561.0,0.0
Syria,87,23865423.0,15273871.0,13245310.0,668232.0,100000.0,0.0,50000.0,104.0,52.0,5.0,2.0,8.0,0.0,0.0,39.0,7.0,168.0,18736.0,60.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,145925000.0,4441250000.0,98858000000.0,307766250.0,42.0,6617000.0,3.0,2052.0,69873.0,65000.0,102000.0,2500000000.0,3085000000.0,3084000000.0,240693000000.0,0.0,15000.0,0.0,187437.0,193.0,2363.0,900.0
Lithuania,88,2628186.0,1708321.0,1332490.0,36795.0,23000.0,104000.0,14150.0,9.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,4553.0,16.0,54.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,5651760000.0,48400000000.0,136227000000.0,7406000000.0,64.0,1548000.0,2.0,1911.0,83821.0,4000.0,67000.0,12000000.0,0.0,1601000000.0,0.0,0.0,166000.0,0.0,65300.0,90.0,1545.0,441.0
Tanzania,89,67462121.0,12143182.0,6678750.0,607159.0,25000.0,0.0,6500.0,38.0,11.0,0.0,6.0,6.0,0.0,0.0,15.0,0.0,200.0,8408.0,0.0,205.0,70.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1476113361.0,17513000000.0,246706000000.0,5371525000.0,206.0,32983000.0,8.0,4097.0,145203.0,0.0,85000.0,0.0,1808000000.0,1808000000.0,6513000000.0,2341000.0,740000.0,1410000000.0,947300.0,1424.0,4161.0,0.0
New Zealand,90,5161211.0,2219321.0,1775457.0,61935.0,10050.0,3300.0,300.0,47.0,0.0,0.0,7.0,13.0,6.0,0.0,21.0,0.0,0.0,3378.0,0.0,31.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,2455949332.0,230651410000.0,257117000000.0,22065000000.0,206.0,3124000.0,22.0,4128.0,94000.0,12000.0,154000.0,40993000.0,3770000000.0,3819000000.0,31149000000.0,3011000.0,2696000.0,6750000000.0,268838.0,15134.0,0.0,0.0
Slovenia,91,2097893.0,1006989.0,826570.0,22867.0,7000.0,26000.0,5000.0,40.0,0.0,0.0,5.0,23.0,0.0,0.0,16.0,0.0,54.0,4636.0,17.0,18.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1782000000.0,60500000000.0,103118000000.0,2832000000.0,42.0,1058000.0,2.0,1207.0,38125.0,4.0,44000.0,0.0,3863000.0,840902000.0,0.0,2440000.0,2309000.0,95000000.0,20273.0,47.0,1211.0,710.0
Mozambique,92,33350954.0,14674420.0,7770772.0,533615.0,11200.0,0.0,3000.0,23.0,8.0,2.0,5.0,1.0,0.0,0.0,7.0,2.0,60.0,3488.0,0.0,104.0,12.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,480000000.0,8274000000.0,51786000000.0,3843000000.0,92.0,15173000.0,11.0,4787.0,30562.0,0.0,42000.0,0.0,5388000000.0,1347000000.0,2832000000000.0,10583000.0,13000.0,1792000000.0,799380.0,2470.0,4783.0,460.0
Mongolia,93,3281676.0,1870555.0,1552233.0,62352.0,35000.0,230000.0,50000.0,8.0,0.0,0.0,3.0,2.0,0.0,0.0,3.0,0.0,420.0,11040.0,0.0,500.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1590000000.0,8379000000.0,59221000000.0,5508000000.0,37.0,1449000.0,0.0,1815.0,113200.0,15000.0,39000.0,0.0,0.0,0.0,0.0,68824000.0,8941000.0,2520000000.0,1564116.0,0.0,8082.0,580.0
Ireland,94,5233461.0,2407392.0,1999182.0,57568.0,7557.0,1720.0,0.0,23.0,0.0,0.0,5.0,8.0,2.0,0.0,8.0,0.0,0.0,3296.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1754400500.0,3630000000000.0,620544000000.0,12698000000.0,100.0,2857000.0,21.0,1688.0,102227.0,600.0,159000.0,0.0,1447000000.0,5280000000.0,9911000000.0,0.0,1341000.0,40000000.0,70273.0,1448.0,443.0,956.0
Georgia,95,4900961.0,2744538.0,2225036.0,93118.0,37000.0,205500.0,0.0,61.0,0.0,5.0,2.0,10.0,0.0,0.0,44.0,11.0,132.0,5974.0,67.0,121.0,42.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,4.0,680000000.0,9085000000.0,91849000000.0,4447000000.0,21.0,1833000.0,3.0,1363.0,40044.0,300.0,34000.0,35000000.0,8760000.0,2796000000.0,8495000000.0,148000.0,384000.0,900999000.0,69700.0,310.0,1814.0,0.0
Guatemala,96,18255216.0,7484639.0,6279794.0,182552.0,106114.0,90000.0,35000.0,35.0,0.0,3.0,10.0,0.0,2.0,0.0,20.0,0.0,0.0,3268.0,0.0,110.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,616000000.0,11862000000.0,232673000000.0,24412000000.0,58.0,7575000.0,3.0,800.0,17440.0,6000.0,117000.0,86110000.0,3276000.0,2986000.0,0.0,0.0,1012000.0,0.0,108889.0,400.0,1667.0,990.0
Uruguay,97,3425330.0,1575652.0,1322177.0,54805.0,24000.0,0.0,5000.0,43.0,0.0,6.0,6.0,12.0,5.0,2.0,12.0,0.0,62.0,5968.0,16.0,83.0,4.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1903440000.0,54450000000.0,108502000000.0,17378000000.0,65.0,1768000.0,8.0,1673.0,77732.0,400.0,50000.0,0.0,0.0,86037000.0,0.0,0.0,8000.0,0.0,176215.0,660.0,1591.0,1600.0
Yemen,98,32140443.0,12213368.0,9031464.0,610668.0,33350.0,0.0,20000.0,160.0,68.0,0.0,3.0,30.0,0.0,0.0,59.0,14.0,0.0,1550.0,12.0,60.0,30.0,26.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,405187500.0,6492000000.0,18719000000.0,831025575.0,37.0,7848000.0,10.0,0.0,71300.0,15000.0,58000.0,3000000000.0,189432000.0,189432000.0,478555000000.0,0.0,27000.0,0.0,527968.0,1906.0,1601.0,0.0
Cameroon,99,30966105.0,10528476.0,6224187.0,495458.0,38000.0,0.0,9000.0,35.0,0.0,0.0,6.0,6.0,2.0,0.0,21.0,0.0,0.0,860.0,18.0,52.0,20.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,835694942.0,11112000000.0,143264000000.0,4882000000.0,37.0,11119000.0,7.0,987.0,77589.0,64000.0,41000.0,200000000.0,2595000000.0,877058000.0,135071000000.0,0.0,0.0,0.0,475440.0,400.0,5018.0,0.0
Tajikistan,100,10394063.0,4781269.0,3773045.0,176699.0,150000.0,600000.0,20000.0,25.0,0.0,0.0,1.0,4.0,0.0,0.0,20.0,6.0,38.0,6782.0,3.0,13.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450460000.0,3024000000.0,50370000000.0,3026450000.0,19.0,2780000.0,0.0,680.0,30000.0,300.0,31000.0,12000000.0,18476000.0,85567000.0,5663000000.0,2394000.0,2297000.0,4075000000.0,144100.0,0.0,4130.0,200.0
Armenia,101,2976765.0,1666988.0,1366335.0,44651.0,65000.0,210000.0,5000.0,69.0,4.0,14.0,3.0,12.0,0.0,0.0,36.0,20.0,109.0,1412.0,104.0,193.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1480000000.0,6002000000.0,60909000000.0,3685000000.0,11.0,1510000.0,0.0,686.0,7700.0,0.0,15000.0,0.0,0.0,2861000000.0,0.0,300.0,19000.0,317000000.0,29743.0,0.0,1570.0,0.0
Latvia,102,1801246.0,810561.0,648449.0,16211.0,17870.0,38000.0,12500.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3410.0,47.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,6.0,42000000.0,48598440000.0,72516000000.0,5141000000.0,55.0,954900.0,5.0,2216.0,57972.0,2000.0,33000.0,0.0,0.0,828214000.0,0.0,0.0,20000.0,0.0,64589.0,498.0,1370.0,300.0
Honduras,103,9529188.0,4192843.0,3144632.0,95292.0,52225.0,0.0,23000.0,45.0,6.0,7.0,10.0,10.0,1.0,0.0,11.0,0.0,22.0,4666.0,0.0,48.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,612300000.0,7785000000.0,71297000000.0,8036000000.0,129.0,4296000.0,8.0,699.0,14742.0,20.0,71000.0,0.0,0.0,0.0,0.0,0.0,144000.0,0.0,112090.0,832.0,1575.0,465.0
Mali,104,21990607.0,6817088.0,4288168.0,351850.0,40000.0,0.0,4800.0,44.0,9.0,12.0,8.0,4.0,1.0,0.0,10.0,8.0,0.0,3717.0,0.0,50.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1110000000.0,4085000000.0,71253000000.0,647800000.0,30.0,9126000.0,0.0,593.0,139107.0,0.0,46000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1240192.0,0.0,7908.0,1800.0
Zimbabwe,105,17150352.0,6517134.0,3721626.0,360157.0,29000.0,0.0,21800.0,80.0,9.0,9.0,14.0,20.0,0.0,0.0,28.0,6.0,60.0,1248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1976800000.0,6671000000.0,57391000000.0,484973000.0,144.0,6386000.0,0.0,3427.0,97267.0,800.0,34000.0,0.0,0.0,0.0,0.0,7968000.0,6705000.0,502000000.0,390757.0,0.0,3229.0,0.0
Estonia,106,1193791.0,584958.0,456028.0,13132.0,7700.0,230000.0,10000.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2579.0,48.0,0.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2375000000.0,29040000000.0,57001000000.0,2075000000.0,34.0,756200.0,20.0,1441.0,89382.0,24000.0,27000.0,0.0,0.0,354912000.0,0.0,0.0,800.0,0.0,45228.0,3794.0,657.0,335.0
Uganda,107,49283041.0,16756234.0,9905891.0,985661.0,45000.0,0.0,10000.0,51.0,6.0,0.0,3.0,12.0,0.0,0.0,30.0,6.0,259.0,9702.0,6.0,26.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1510000000.0,10469000000.0,144137000000.0,3432750000.0,39.0,22829000.0,0.0,1244.0,20544.0,0.0,44000.0,2500000000.0,0.0,0.0,14158000000.0,19.0,0.0,799999000.0,241038.0,0.0,2729.0,0.0
Ivory Coast,108,29981758.0,12292521.0,7855221.0,569653.0,22000.0,0.0,5500.0,22.0,0.0,0.0,3.0,2.0,3.0,0.0,14.0,5.0,0.0,1328.0,0.0,4.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,18200000.0,26576000000.0,215018000000.0,7583484000.0,29.0,12595000.0,5.0,660.0,81996.0,29000.0,87000.0,100000000.0,2635000000.0,2635000000.0,28317000000.0,0.0,0.0,0.0,322463.0,515.0,3458.0,980.0
Kyrgyzstan,109,6172101.0,3147772.0,2487357.0,117270.0,23000.0,0.0,55000.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,215.0,5372.0,30.0,174.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,654000000.0,3617000000.0,50907000000.0,5089000000.0,28.0,3197000.0,0.0,424.0,34000.0,6000.0,31000.0,40000000.0,31026000.0,438000000.0,5663000000.0,3685000.0,4212000.0,28499000000.0,199951.0,0.0,4573.0,576.0
Luxembourg,110,671254.0,154388.0,92633.0,3356.0,1200.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1530685000.0,5203000000000.0,86871000000.0,2789000000.0,3.0,350000.0,0.0,271.0,2746.0,0.0,51000.0,0.0,0.0,594240000.0,0.0,0.0,34000.0,0.0,2586.0,0.0,327.0,37.0
Zambia,111,20799116.0,7279691.0,4139024.0,374384.0,15150.0,0.0,1200.0,78.0,0.0,0.0,13.0,34.0,0.0,0.0,33.0,0.0,75.0,848.0,12.0,60.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,385321000.0,16597000000.0,79207000000.0,3017000000.0,120.0,7407000.0,0.0,3126.0,67671.0,0.0,34000.0,0.0,0.0,0.0,0.0,2091000.0,2081000.0,945000000.0,752618.0,0.0,6043.0,0.0
Ghana,112,34589092.0,14873310.0,9961658.0,622604.0,15500.0,0.0,0.0,18.0,0.0,0.0,2.0,5.0,2.0,0.0,9.0,0.0,0.0,3648.0,0.0,6.0,6.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,954423756.0,29241000000.0,243124000000.0,3624000000.0,11.0,13927000.0,4.0,947.0,65725.0,176000.0,96000.0,660000000.0,3192000000.0,3912000000.0,22653000000.0,0.0,51000.0,0.0,238533.0,539.0,2420.0,1293.0
South Sudan,113,12703714.0,6351857.0,4065188.0,330297.0,185000.0,0.0,0.0,19.0,0.0,0.0,4.0,0.0,0.0,0.0,15.0,6.0,122.0,2550.0,24.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30700000.0,2722500000.0,6752000000.0,128248000.0,89.0,5091000.0,0.0,248.0,90200.0,146000.0,11000.0,3750000000.0,0.0,0.0,0.0,0.0,0.0,0.0,644329.0,0.0,6018.0,0.0
North Macedonia,114,2135622.0,948216.0,783773.0,27763.0,10010.0,60000.0,3500.0,20.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,4.0,0.0,1878.0,0.0,156.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,421527100.0,5637000000.0,43844000000.0,5252000000.0,13.0,779200.0,0.0,699.0,15170.0,0.0,24000.0,0.0,0.0,274928000.0,0.0,4000000.0,5344000.0,332000000.0,25713.0,0.0,838.0,0.0
Dominican Republic,115,10815857.0,4975294.0,4034315.0,97343.0,89000.0,189000.0,30000.0,80.0,0.0,8.0,11.0,17.0,1.0,0.0,49.0,0.0,6.0,930.0,0.0,14.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,903000000.0,35044000000.0,276884000000.0,13471000000.0,32.0,5413000.0,17.0,496.0,19705.0,0.0,146000.0,0.0,0.0,2440000000.0,0.0,0.0,2356000.0,0.0,48320.0,1288.0,376.0,0.0
Nicaragua,116,6676948.0,3271705.0,2777610.0,146893.0,45000.0,0.0,5500.0,17.0,0.0,0.0,5.0,1.0,0.0,0.0,12.0,0.0,186.0,6344.0,0.0,347.0,151.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,1311600000.0,6753000000.0,52989000000.0,6105000000.0,39.0,3225000.0,5.0,0.0,24033.0,200.0,28000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130370.0,910.0,1253.0,2220.0
Republic of the Congo,117,6097665.0,2256136.0,1353682.0,115856.0,10000.0,0.0,2500.0,14.0,2.0,0.0,4.0,0.0,0.0,0.0,8.0,1.0,61.0,804.0,3.0,38.0,30.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,933360000.0,6360000000.0,39147000000.0,715391000.0,56.0,2563000.0,5.0,510.0,23324.0,267000.0,13000.0,2885000000.0,423000000.0,423000000.0,283990000000.0,0.0,0.0,0.0,342000.0,169.0,5008.0,1120.0
Lebanon,118,5364482.0,2092148.0,1775644.0,69738.0,80000.0,15000.0,65000.0,80.0,0.0,9.0,0.0,9.0,0.0,0.0,68.0,0.0,334.0,6912.0,12.0,350.0,11.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,800000000.0,41619000000.0,65415000000.0,33301000000.0,8.0,1939000.0,5.0,401.0,21705.0,0.0,115000.0,0.0,0.0,0.0,0.0,0.0,166000.0,0.0,10400.0,225.0,484.0,0.0
Eritrea,119,6343956.0,2220385.0,1598677.0,76127.0,350000.0,680000.0,0.0,20.0,1.0,0.0,5.0,1.0,0.0,0.0,13.0,6.0,148.0,1040.0,45.0,89.0,44.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,219000000.0,461376000.0,2534000000.0,191694000.0,11.0,1710000.0,2.0,306.0,16000.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117600.0,2234.0,1840.0,0.0
Niger,120,26342784.0,7902835.0,5294900.0,447827.0,25000.0,0.0,5000.0,26.0,0.0,2.0,7.0,0.0,2.0,0.0,13.0,2.0,0.0,1550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,488400000.0,3793000000.0,47921000000.0,1442772000.0,26.0,10486000.0,0.0,0.0,18949.0,13000.0,18000.0,150000000.0,29509000.0,29858000.0,0.0,427000.0,426000.0,90000000.0,1267000.0,0.0,5834.0,300.0
Afghanistan,121,40121552.0,15647405.0,8826741.0,842553.0,75000.0,0.0,90000.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,3902.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145000000.0,1929750000.0,82238000000.0,8852092000.0,68.0,9133000.0,0.0,0.0,34903.0,0.0,58000.0,0.0,80200000.0,80200000.0,49554000000.0,767000.0,503000.0,66000000.0,652230.0,0.0,5987.0,1200.0
Namibia,122,2803660.0,616805.0,400923.0,30840.0,17567.0,0.0,5000.0,36.0,11.0,0.0,5.0,13.0,0.0,0.0,7.0,2.0,7.0,2402.0,0.0,50.0,55.0,15.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,0.0,450498000.0,9680000000.0,31154000000.0,3356000000.0,259.0,1131000.0,2.0,2628.0,48875.0,0.0,23000.0,0.0,0.0,0.0,62297000000.0,0.0,24000.0,350000000.0,824292.0,1572.0,4220.0,0.0
Mauritania,123,4328040.0,1687936.0,1181555.0,82233.0,31540.0,66000.0,5000.0,23.0,0.0,4.0,7.0,6.0,2.0,0.0,4.0,0.0,51.0,5024.0,0.0,75.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,270625000.0,3072000000.0,33069000000.0,2039000000.0,25.0,1210000.0,2.0,728.0,12253.0,0.0,32000.0,20000000.0,0.0,0.0,28317000000.0,0.0,0.0,0.0,1030700.0,754.0,5002.0,1086.0
