Country,total-population-by-country,available-military-manpower,manpower-fit-for-military-service,manpower-reaching-military-age-annually,active-military-manpower,active-reserve-military-manpower,manpower-paramilitary,aircraft-total,aircraft-total-fighters,aircraft-total-attack-types,aircraft-total-transports,aircraft-total-trainers,aircraft-total-special-mission,aircraft-total-tanker-fleet,aircraft-helicopters-total,aircraft-helicopters-attack,armor-tanks-total,armor-apc-total,armor-self-propelled-guns-total,armor-towed-artillery-total,armor-mlrs-total,navy-ships,navy-force-by-tonnage,navy-aircraft-carriers,navy-helo-carriers,navy-submarines,navy-destroyers,navy-frigates,navy-corvettes,navy-patrol-coastal-craft,navy-mine-warfare-craft,defense-spending-budget,external-debt-by-country,purchasing-power-parity,reserves-of-foreign-exchange-and-gold,major-serviceable-airports-by-country,labor-force-by-country,major-ports-and-terminals,railway-coverage,roadway-coverage,oil-production-by-country,oil-consumption-by-country,proven-oil-reserves-by-country,natural-gas-production-by-country,natural-gas-consumption-by-country,proven-natural-gas-reserves-by-country,coal-production-by-country,coal-consumption-by-country,proven-coal-reserves-by-country,square-land-area,coastline-coverage,border-coverage,waterway-coverage,Capital,Captal Population,power_index_rank
Peru,32600249,15648120,12681497,619405,120000,385000,60000,256,15,22,38,72,12,0,111,16,240,6560,12,290,49,71,170344,0,0,4,0,7,8,13,0,$                        							3420000000,$                        							59400000000,$                        							517644000000,$                        							71394000000,166,18529000,20,"1855                        						
							km","18699                        						
							km","118000                        						
							bbl","210000                        						
							bbl","858890000                        						
							bbl","12270000000                        						
							Cu.M","7185000000                        						
							Cu.M","300159000000                        						
							Cu.M","153000                        						
							Cu.M","712000                        						
							mt","1567000000                        						
							Cu.M","1285216                        						
							km","2414                        						
							km","7062                        						
							km","8808                        						
							km",Lusaka,"3,181,000",49
Yemen,32140443,12213368,9031464,610668,66700,0,20000,84,27,12,2,15,0,0,30,7,0,550,0,15,10,33,,0,0,0,0,0,1,12,1,$                        							810375000,$                        							6343500000,$                        							67003300000,$                        							923361750,36,6883000,10,"0                        						
							km","71300                        						
							km","15000                        						
							bbl","60000                        						
							bbl","3000000000                        						
							bbl","189432000                        						
							Cu.M","189432000                        						
							Cu.M","478555000000                        						
							Cu.M","0                        						
							Cu.M","165000                        						
							mt","0                        						
							Cu.M","527968                        						
							km","1906                        						
							km","1601                        						
							km","0                        						
							km",Pyongyang,"3,158,000",85
Venezuela,31250306,15625153,12812625,625006,109000,8000,220000,229,30,0,49,75,3,1,88,10,172,8802,48,100,36,34,,0,0,1,0,1,0,25,0,$                        							4093120000,$                        							110330000000,$                        							295974800000,$                        							10095500000,502,11548000,31,"447                        						
							km","96189                        						
							km","761000                        						
							bbl","367000                        						
							bbl","303806000000                        						
							bbl","17696000000                        						
							Cu.M","17696000000                        						
							Cu.M","5674000000000                        						
							Cu.M","197000                        						
							Cu.M","82000                        						
							mt","730999000                        						
							Cu.M","912050                        						
							km","2800                        						
							km","5267                        						
							km","7100                        						
							km",Athens,"3,154,000",50
Nepal,31122387,15249970,11733140,778060,95000,0,15000,15,0,0,5,0,0,0,10,0,0,1108,0,14,0,0,,0,0,0,0,0,0,0,0,$                        							409100000,$                        							5838500000,$                        							144310000000,$                        							12456000000,51,8937000,0,"59                        						
							km","27990                        						
							km","0                        						
							bbl","62000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","15000                        						
							Cu.M","1095000                        						
							mt","8000000                        						
							Cu.M","147181                        						
							km","0                        						
							km","3159                        						
							km","0                        						
							km",Ouagadougou,"3,056,000",126
Cameroon,30966105,10528476,6224187,495458,40000,0,12500,35,0,0,6,6,2,0,21,0,0,430,18,52,20,51,,0,0,0,0,0,0,51,0,$                        							554952283,$                        							9506000000,$                        							138925000000,$                        							5754093000,37,11965000,7,"987                        						
							km","77589                        						
							km","54000                        						
							bbl","40000                        						
							bbl","200000000                        						
							bbl","2595000000                        						
							Cu.M","877058000                        						
							Cu.M","135071000000                        						
							Cu.M","0                        						
							Cu.M","0                        						
							mt","0                        						
							Cu.M","475440                        						
							km","400                        						
							km","5018                        						
							km","0                        						
							km",Guatemala City,"3,036,000",93
Ivory Coast,29981758,12292521,7855221,569653,22000,0,5500,19,0,0,4,2,3,0,10,3,5,656,0,2,3,3,,0,0,0,0,0,0,3,0,$                        							669600935,$                        							19311500000,$                        							202758000000,$                        							7583484000,29,10954000,5,"660                        						
							km","81996                        						
							km","29000                        						
							bbl","60000                        						
							bbl","100000000                        						
							bbl","2635000000                        						
							Cu.M","2635000000                        						
							Cu.M","28317000000                        						
							Cu.M","0                        						
							Cu.M","0                        						
							mt","0                        						
							Cu.M","322463                        						
							km","515                        						
							km","3458                        						
							km","980                        						
							km",Lisbon,"3,001,000",102
Madagascar,29452714,11192031,7952233,559602,13500,0,8100,5,0,0,0,0,0,0,5,0,6,158,0,9,0,6,,0,0,0,0,0,0,4,0,$                        							112210000,$                        							3028500000,$                        							51255000000,$                        							2632000000,91,15830000,13,"836                        						
							km","31640                        						
							km","0                        						
							bbl","19000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","511000                        						
							mt","150000000                        						
							Cu.M","587040                        						
							km","4828                        						
							km","0                        						
							km","600                        						
							km",Caracas,"2,972,000",130
Australia,26768598,11242811,9208398,294455,57350,32050,0,327,24,62,38,98,30,6,69,22,59,15648,0,48,0,44,185648,0,2,6,3,7,0,10,3,$                        							55700000000,$                        							3427504300000,$                        							1584000000000,$                        							61703000000,2180,14501000,66,"36064                        						
							km","873573                        						
							km","386000                        						
							bbl","1123000                        						
							bbl","2446000000                        						
							bbl","153783000000                        						
							Cu.M","50188000000                        						
							Cu.M","3228000000000                        						
							Cu.M","465865000                        						
							Cu.M","107624000                        						
							mt","150227000000                        						
							Cu.M","7741220                        						
							km","25760                        						
							km","0                        						
							km","2000                        						
							km",Kyiv,"2,884,000",18
Niger,26342784,7902835,5294900,447827,25000,0,5000,26,0,2,7,0,2,0,13,1,0,456,0,0,0,0,,0,0,0,0,0,0,0,0,$                        							336400000,$                        							3844000000,$                        							44561000000,$                        							1442772000,26,10237000,0,"0                        						
							km","18949                        						
							km","6000                        						
							bbl","13000                        						
							bbl","150000000                        						
							bbl","29509000                        						
							Cu.M","29858000                        						
							Cu.M","0                        						
							Cu.M","457000                        						
							Cu.M","457000                        						
							mt","90000000                        						
							Cu.M","1267000                        						
							km","0                        						
							km","5834                        						
							km","300                        						
							km",Algiers,"2,854,000",119
North Korea,26298666,9467520,5312331,420779,1320000,560000,100000,861,368,114,1,173,0,0,205,20,4344,18288,1300,700,1500,207,143304,0,0,13,0,2,4,155,1,$                        							4736000000,$                        							5500000000,$                        							72000000000,$                        							5500000000,83,15837000,10,"7435                        						
							km","25554                        						
							km","0                        						
							bbl","17000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","21747000                        						
							Cu.M","21747000                        						
							mt","10600000000                        						
							Cu.M","120538                        						
							km","2495                        						
							km","1607                        						
							km","2250                        						
							km",Pretoria,"2,818,000",34
Syria,23865423,15273871,13245310,668232,170000,50000,50000,207,104,9,3,15,1,0,77,14,365,11148,90,641,204,27,,0,0,0,0,0,0,16,4,$                        							291850000,$                        							4309500000,$                        							55935900000,$                        							341962500,39,6315000,3,"2052                        						
							km","69873                        						
							km","75000                        						
							bbl","138000                        						
							bbl","2500000000                        						
							bbl","3085000000                        						
							Cu.M","3084000000                        						
							Cu.M","240693000000                        						
							Cu.M","0                        						
							Cu.M","47000                        						
							mt","0                        						
							Cu.M","187437                        						
							km","193                        						
							km","2363                        						
							km","900                        						
							km",Bamako,"2,817,000",64
Taiwan,23595274,12269542,1061787,306739,215000,2310000,55000,761,285,0,19,232,18,0,236,91,888,19921,488,1360,234,97,250414,0,0,4,4,22,7,37,14,$                        							19740000000,$                        							209000000000,$                        							1257300000000,$                        							492635000000,53,11498000,8,"1613                        						
							km","43206                        						
							km","800                        						
							bbl","1022000                        						
							bbl","2380000                        						
							bbl","63747000                        						
							Cu.M","21157000000                        						
							Cu.M","6230000000                        						
							Cu.M","5608000                        						
							Cu.M","66855000                        						
							mt","1000000                        						
							Cu.M","35980                        						
							km","1566                        						
							km","0                        						
							km","0                        						
							km",Taipei,"2,754,000",22
Burkina Faso,23042199,8525614,6060098,368675,12000,0,4500,25,0,3,2,0,2,0,18,5,0,491,0,8,9,0,,0,0,0,0,0,0,0,0,$                        							81280000,$                        							3145000000,$                        							57152000000,$                        							47138000,49,8577000,0,"622                        						
							km","15304                        						
							km","0                        						
							bbl","36000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							mt","0                        						
							Cu.M","274200                        						
							km","0                        						
							km","3611                        						
							km","0                        						
							km",Brazzaville,"2,638,000",129
Mali,21990607,6817088,4288168,351850,40000,0,4800,43,9,12,7,4,1,0,10,8,10,570,0,10,20,0,,0,0,0,0,0,0,0,0,$                        							650386000,$                        							4057500000,$                        							57235000000,$                        							647800000,30,8277000,0,"593                        						
							km","139107                        						
							km","0                        						
							bbl","46000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							mt","0                        						
							Cu.M","1240192                        						
							km","0                        						
							km","7908                        						
							km","1800                        						
							km",Mogadishu,"2,610,000",104
Sri Lanka,21982608,10551652,8551235,307757,346000,90000,0,85,5,0,14,8,3,0,55,9,44,3190,0,96,28,270,27136,0,0,0,0,5,0,59,0,$                        							1265400000,$                        							46409500000,$                        							287132000000,$                        							3450700000,18,8707000,6,"1562                        						
							km","114093                        						
							km","0                        						
							bbl","121000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","2084000                        						
							mt","0                        						
							Cu.M","65610                        						
							km","1340                        						
							km","0                        						
							km","160                        						
							km",Accra,"2,605,000",69
Zambia,20799116,7279691,4139024,374384,15150,0,1200,77,0,0,13,34,0,0,32,0,35,424,12,30,25,0,,0,0,0,0,0,0,0,0,$                        							394240000,$                        							13200000000,$                        							76493000000,$                        							2861000000,119,7051000,0,"3126                        						
							km","67671                        						
							km","0                        						
							bbl","34000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","831000                        						
							Cu.M","823000                        						
							mt","944999000                        						
							Cu.M","752618                        						
							km","0                        						
							km","6043                        						
							km","0                        						
							km",Tashkent,"2,603,000",109
Kazakhstan,20260006,9117003,6928922,283640,110000,135000,55000,198,63,25,19,26,0,0,65,12,350,7736,126,194,287,26,,0,0,0,0,0,0,23,2,$                        							2048700000,$                        							91321500000,$                        							705520000000,$                        							35965000000,132,9587000,0,"16636                        						
							km","96167                        						
							km","1955000                        						
							bbl","288000                        						
							bbl","30000000000                        						
							bbl","27011000000                        						
							Cu.M","22623000000                        						
							Cu.M","2407000000000                        						
							Cu.M","118195000                        						
							Cu.M","84852000                        						
							mt","25605000000                        						
							Cu.M","2724900                        						
							km","26                        						
							km","13364                        						
							km","43983                        						
							km",Damascus,"2,585,000",57
Chad,19093595,6873694,3856906,381872,33250,0,5000,40,0,7,7,8,2,0,16,3,90,3316,10,10,20,0,,0,0,0,0,0,0,0,0,$                        							381350000,$                        							2038000000,$                        							32446000000,$                        							211591000,42,5806000,0,"0                        						
							km","40000                        						
							km","124000                        						
							bbl","15000                        						
							bbl","1500000000                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							mt","0                        						
							Cu.M","1284000                        						
							km","0                        						
							km","6406                        						
							km","12400                        						
							km",Tunis,"2,475,000",84
Senegal,18847519,7162057,4089912,395798,17000,0,0,40,0,0,5,23,1,0,20,5,0,1740,0,20,6,4,,0,0,0,0,0,0,4,0,$                        							465150000,$                        							11326000000,$                        							77382000000,$                        							889295000,19,5257000,6,"906                        						
							km","16665                        						
							km","9000                        						
							bbl","55000                        						
							bbl","0                        						
							bbl","54646000                        						
							Cu.M","54498000                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","502000                        						
							mt","0                        						
							Cu.M","196722                        						
							km","531                        						
							km","2684                        						
							km","1000                        						
							km",Beirut,"2,433,000",125
Chile,18664652,8959033,7521855,298634,80000,40000,50000,277,45,0,32,92,21,5,87,0,386,8832,48,249,8,130,176065,0,0,4,0,8,0,40,0,$                        							5032500000,$                        							214500000000,$                        							579201000000,$                        							46377000000,374,9848000,39,"7282                        						
							km","77801                        						
							km","11000                        						
							bbl","405000                        						
							bbl","150000000                        						
							bbl","1200000000                        						
							Cu.M","6916000000                        						
							Cu.M","97976000000                        						
							Cu.M","499000                        						
							Cu.M","8637000                        						
							mt","1181000000                        						
							Cu.M","756102                        						
							km","6435                        						
							km","7801                        						
							km","12290                        						
							km",Baku,"2,401,000",47
Ecuador,18309984,8422593,6738074,329580,41250,118000,1500,102,0,0,20,34,8,0,46,0,54,5204,5,106,24,30,,0,0,2,0,2,6,5,0,$                        							2376000000,$                        							44898000000,$                        							260213000000,$                        							4442000000,310,8893000,6,"965                        						
							km","43950                        						
							km","480000                        						
							bbl","225000                        						
							bbl","8273000000                        						
							bbl","309778000                        						
							Cu.M","309778000                        						
							Cu.M","10902000000                        						
							Cu.M","0                        						
							Cu.M","21000                        						
							mt","24000000                        						
							Cu.M","283560                        						
							km","2237                        						
							km","2237                        						
							km","1500                        						
							km",Phnom Penh,"2,211,000",65
Guatemala,18255216,7484639,6279794,182552,106114,90000,35000,36,0,4,10,0,0,0,21,0,5,688,0,50,0,25,,0,0,0,0,0,0,20,0,$                        							408635000,$                        							27500000000,$                        							223183000000,$                        							21311000000,58,7258000,3,"800                        						
							km","17440                        						
							km","6000                        						
							bbl","115000                        						
							bbl","86110000                        						
							bbl","3276000                        						
							Cu.M","2986000                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","1296000                        						
							mt","0                        						
							Cu.M","108889                        						
							km","400                        						
							km","1667                        						
							km","990                        						
							km",Amman,"2,210,000",103
Romania,18148155,9437041,7731114,199630,81300,55000,15000,140,21,0,14,44,2,0,65,0,328,10774,0,720,243,20,,0,0,0,0,3,7,3,5,$                        							9700000000,$                        							132000000000,$                        							772107000000,$                        							73000000000,82,8282000,11,"10628                        						
							km","84185                        						
							km","67000                        						
							bbl","221000                        						
							bbl","600000000                        						
							bbl","9501000000                        						
							Cu.M","10055000000                        						
							Cu.M","105480000000                        						
							Cu.M","18160000                        						
							Cu.M","19404000                        						
							mt","291000000                        						
							Cu.M","238391                        						
							km","225                        						
							km","2844                        						
							km","1731                        						
							km",Havana,"2,146,000",51
Netherlands,17772378,7997570,6486918,195496,41380,6765,5000,120,32,0,4,21,0,0,63,12,18,2755,46,0,2,64,124962,0,0,3,0,6,0,4,4,$                        							27000000000,$                        							4779954300000,$                        							1240000000000,$                        							69830000000,45,9999000,18,"3055                        						
							km","139124                        						
							km","70000                        						
							bbl","872000                        						
							bbl","137747000                        						
							bbl","17774000000                        						
							Cu.M","33243000000                        						
							Cu.M","132608000000                        						
							Cu.M","1825000                        						
							Cu.M","10610000                        						
							mt","3247000000                        						
							Cu.M","41543                        						
							km","451                        						
							km","1053                        						
							km","6237                        						
							km",Brussels,"2,110,000",36
Zimbabwe,17150352,6517134,3721626,360157,29000,0,21800,95,13,0,14,40,0,0,28,6,15,828,0,0,0,0,,0,0,0,0,0,0,0,0,$                        							530800000,$                        							11000000000,$                        							58583000000,$                        							115530000,144,6561000,0,"3427                        						
							km","97267                        						
							km","800                        						
							bbl","29000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","3877000                        						
							Cu.M","4479000                        						
							mt","502000000                        						
							Cu.M","390757                        						
							km","0                        						
							km","3229                        						
							km","0                        						
							km",Minsk,"2,049,000",111
Cambodia,17063669,8190561,5733393,307146,221000,0,10000,25,0,0,4,0,0,0,21,0,644,3627,30,430,463,20,,0,0,0,0,0,0,20,0,$                        							860000000,$                        							13200000000,$                        							85900000000,$                        							17801000000,13,9175000,2,"642                        						
							km","47263                        						
							km","0                        						
							bbl","73000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","113000                        						
							Cu.M","2215000                        						
							mt","0                        						
							Cu.M","181035                        						
							km","443                        						
							km","2530                        						
							km","3700                        						
							km",Panama City,"1,977,000",95
Benin,14697052,5584880,3189260,308638,4750,0,0,5,0,0,0,0,0,0,5,0,0,92,0,16,0,2,,0,0,0,0,0,0,2,0,$                        							98350000,$                        							4066500000,$                        							52510000000,$                        							698900000,10,4964000,1,"438                        						
							km","16000                        						
							km","0                        						
							bbl","46000                        						
							bbl","8000000                        						
							bbl","0                        						
							Cu.M","182131000                        						
							Cu.M","1133000000                        						
							Cu.M","0                        						
							Cu.M","45000                        						
							mt","0                        						
							Cu.M","112622                        						
							km","121                        						
							km","2123                        						
							km","150                        						
							km",Vienna,"1,960,000",144
Somalia,13017273,2993973,1796384,130173,15000,0,2000,0,0,0,0,0,0,0,0,0,0,682,0,0,0,10,,0,0,0,0,0,0,10,0,$                        							171002350,$                        							5830000000,$                        							26351000000,$                        							16747500,38,3277000,6,"0                        						
							km","15000                        						
							km","0                        						
							bbl","6000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","5663000000                        						
							Cu.M","0                        						
							Cu.M","0                        						
							mt","0                        						
							Cu.M","637657                        						
							km","3025                        						
							km","2385                        						
							km","0                        						
							km",Rabat,"1,959,000",142
South Sudan,12703714,6351857,4065188,330297,185000,0,0,20,0,0,5,0,0,0,15,6,30,1950,24,0,15,0,,0,0,0,0,0,0,0,0,$                        							175300000,$                        							2475000000,$                        							20010000000,$                        							183615000,82,4471000,0,"248                        						
							km","90200                        						
							km","146000                        						
							bbl","14000                        						
							bbl","3750000000                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							mt","0                        						
							Cu.M","644329                        						
							km","0                        						
							km","6018                        						
							km","0                        						
							km",Quito,"1,928,000",113
Bolivia,12311974,5417269,4112199,233928,40000,40000,0,64,0,0,15,19,0,0,33,0,54,890,0,106,0,67,,0,0,0,0,0,0,50,0,$                        							550200000,$                        							11431000000,$                        							119785000000,$                        							1800000000,200,6114000,0,"3690                        						
							km","90568                        						
							km","58000                        						
							bbl","87000                        						
							bbl","240900000                        						
							bbl","13760000000                        						
							Cu.M","3055000000                        						
							Cu.M","302990000000                        						
							Cu.M","0                        						
							Cu.M","9000                        						
							mt","1000000                        						
							Cu.M","1098581                        						
							km","0                        						
							km","7252                        						
							km","10000                        						
							km",La Paz,"1,908,000",80
Tunisia,12048847,6024424,5181004,204830,89800,0,12000,154,10,0,11,28,4,0,101,0,90,7913,0,85,0,58,,0,0,0,0,0,0,51,0,$                        							1400000000,$                        							27084500000,$                        							153637000000,$                        							9240000000,14,4445000,16,"2173                        						
							km","20000                        						
							km","35000                        						
							bbl","108000                        						
							bbl","425000000                        						
							bbl","1323000000                        						
							Cu.M","5153000000                        						
							Cu.M","65129000000                        						
							Cu.M","0                        						
							Cu.M","2000                        						
							mt","0                        						
							Cu.M","163610                        						
							km","1148                        						
							km","1495                        						
							km","0                        						
							km",Warsaw,"1,798,000",90
Belgium,11977634,4910830,3880753,119776,25000,6400,0,108,43,0,7,38,0,0,20,0,0,4606,0,0,0,9,10190,0,0,0,0,2,0,2,5,$                        							10200000000,$                        							1449264300000,$                        							751592000000,$                        							40813000000,49,5432000,7,"3602                        						
							km","118414                        						
							km","11000                        						
							bbl","585000                        						
							bbl","0                        						
							bbl","13436000                        						
							Cu.M","15347000000                        						
							Cu.M","0                        						
							Cu.M","1270000                        						
							Cu.M","4869000                        						
							mt","4100000000                        						
							Cu.M","30528                        						
							km","67                        						
							km","1297                        						
							km","2043                        						
							km",Bucharest,"1,776,000",61
Jordan,11174024,3463947,2983464,145262,100500,65000,35000,274,44,6,13,66,13,0,155,44,1458,16624,358,80,56,27,,0,0,0,0,0,0,27,0,$                        							2500000000,$                        							25646500000,$                        							106806000000,$                        							15715600000,17,3063000,1,"509                        						
							km","7203                        						
							km","20                        						
							bbl","97000                        						
							bbl","1000000                        						
							bbl","187262000                        						
							Cu.M","4382000000                        						
							Cu.M","6031000000                        						
							Cu.M","0                        						
							Cu.M","479000                        						
							mt","0                        						
							Cu.M","89342                        						
							km","26                        						
							km","1744                        						
							km","0                        						
							km",Budapest,"1,775,000",75
Cuba,10966038,5921661,4737328,142558,45500,40000,1145000,31,11,0,4,3,0,0,13,4,113,6864,60,130,15,19,,0,0,0,0,1,1,6,4,$                        							4508784000,$                        							33066000000,$                        							141400000000,$                        							10442000000,123,5317000,34,"8367                        						
							km","60000                        						
							km","34000                        						
							bbl","165000                        						
							bbl","124000000                        						
							bbl","659434000                        						
							Cu.M","659434000                        						
							Cu.M","70792000000                        						
							Cu.M","0                        						
							Cu.M","2000                        						
							mt","0                        						
							Cu.M","110860                        						
							km","3735                        						
							km","29                        						
							km","240                        						
							km",Montevideo,"1,774,000",67
Czechia,10837890,5093808,4129236,97541,28000,4200,0,99,12,16,10,17,2,0,42,4,43,6340,50,0,16,0,,0,0,0,0,0,0,0,0,$                        							6750000000,$                        							211200000000,$                        							519007000000,$                        							148379000000,243,5502000,0,"9548                        						
							km","55744                        						
							km","4000                        						
							bbl","211000                        						
							bbl","15000000                        						
							bbl","224725000                        						
							Cu.M","7602000000                        						
							Cu.M","3964000000                        						
							Cu.M","37423000                        						
							Cu.M","40239000                        						
							mt","3595000000                        						
							Cu.M","78867                        						
							km","0                        						
							km","2046                        						
							km","664                        						
							km",Stockholm,"1,700,000",53
Dominican Republic,10815857,4975294,4034315,97343,50000,0,30000,79,0,8,11,17,1,0,50,0,5,540,0,11,0,34,,0,0,0,0,0,0,14,0,$                        							810800000,$                        							27500000000,$                        							261616000000,$                        							15547000000,32,5302000,17,"496                        						
							km","19705                        						
							km","0                        						
							bbl","134000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","2440000000                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","2188000                        						
							mt","0                        						
							Cu.M","48320                        						
							km","1288                        						
							km","376                        						
							km","0                        						
							km",Ulaanbaatar,"1,673,000",124
Azerbaijan,10650239,5218617,3908638,159754,126400,300000,15000,154,12,18,3,35,0,0,86,16,497,7642,198,650,268,38,,0,0,4,0,0,0,17,4,$                        							5000000000,$                        							16159500000,$                        							215896000000,$                        							13749000000,32,5473000,0,"2944                        						
							km","24981                        						
							km","618000                        						
							bbl","105000                        						
							bbl","7000000000                        						
							bbl","34175000000                        						
							Cu.M","11759000000                        						
							Cu.M","1699000000000                        						
							Cu.M","0                        						
							Cu.M","60000                        						
							mt","0                        						
							Cu.M","86600                        						
							km","713                        						
							km","2468                        						
							km","0                        						
							km",Muscat,"1,650,000",60
Portugal,10639726,5319863,4096295,127677,24000,211700,24700,115,28,0,19,23,14,3,31,0,34,10828,24,115,0,194,38657,0,0,2,0,5,2,20,0,$                        							4627000000,$                        							399395000000,$                        							529901000000,$                        							53710000000,136,5140900,18,"3622                        						
							km","136635                        						
							km","12932                        						
							bbl","191000                        						
							bbl","22440000                        						
							bbl","0                        						
							Cu.M","4500000000                        						
							Cu.M","72000000000                        						
							Cu.M","0                        						
							Cu.M","0                        						
							mt","40000000                        						
							Cu.M","92090                        						
							km","1793                        						
							km","1224                        						
							km","764                        						
							km",Monrovia,"1,623,000",39
Sweden,10589835,4235934,3558185,105898,24400,32900,25000,169,71,0,6,33,5,1,53,0,110,6795,26,0,0,308,31673,0,0,4,0,0,7,179,8,$                        							13000000000,$                        							1002448700000,$                        							676353000000,$                        							60863000000,203,5825000,92,"10910                        						
							km","573134                        						
							km","11000                        						
							bbl","283000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","889924000                        						
							Cu.M","0                        						
							Cu.M","1115000                        						
							Cu.M","3396000                        						
							mt","5000000                        						
							Cu.M","450295                        						
							km","3218                        						
							km","2211                        						
							km","2052                        						
							km",Harare,"1,578,000",27
Greece,10461091,4916713,3985676,104611,142700,221350,55000,558,178,0,15,81,8,0,293,29,1344,61888,589,698,152,192,216348,0,0,10,0,13,0,39,7,$                        							6500000000,$                        							550000000000,$                        							375780000000,$                        							13608000000,81,4645000,57,"2345                        						
							km","117000                        						
							km","5000                        						
							bbl","303000                        						
							bbl","10000000                        						
							bbl","3284000                        						
							Cu.M","5173000000                        						
							Cu.M","991090000                        						
							Cu.M","13703000                        						
							Cu.M","13988000                        						
							mt","2876000000                        						
							Cu.M","131957                        						
							km","13676                        						
							km","1110                        						
							km","6                        						
							km",Kathmandu,"1,571,000",30
Tajikistan,10394063,4781269,3773045,176699,9500,600000,20000,25,0,0,1,4,0,0,20,6,38,1240,3,13,20,0,,0,0,0,0,0,0,0,0,$                        							446000000,$                        							7150000000,$                        							46467000000,$                        							2748900000,19,2677000,0,"680                        						
							km","30000                        						
							km","300                        						
							bbl","28000                        						
							bbl","12000000                        						
							bbl","18476000                        						
							Cu.M","85567000                        						
							Cu.M","5663000000                        						
							Cu.M","2175000                        						
							Cu.M","2245000                        						
							mt","4075000000                        						
							Cu.M","144100                        						
							km","0                        						
							km","4130                        						
							km","200                        						
							km",Abu Dhabi,"1,567,000",108
United Arab Emirates,10032213,5818684,4945881,80258,65000,130000,12000,551,99,16,37,147,27,4,247,30,354,8707,165,99,49,181,44188,0,0,0,0,0,11,34,2,$                        							2212360382,$                        							264000000000,$                        							719733000000,$                        							189491000000,42,6668000,20,"0                        						
							km","4080                        						
							km","4146000                        						
							bbl","939000                        						
							bbl","97800000000                        						
							bbl","56683000000                        						
							Cu.M","66091000000                        						
							Cu.M","6091000000                        						
							Cu.M","0                        						
							Cu.M","3273000                        						
							mt","0                        						
							Cu.M","83600                        						
							km","1318                        						
							km","1066                        						
							km","0                        						
							km",N Djamena,"1,533,000",54
Hungary,9855745,4632200,3794462,118269,41600,20000,15000,69,12,0,3,12,0,0,44,8,209,7797,24,295,0,0,,0,0,0,0,0,0,0,0,$                        							4576000000,$                        							137500000000,$                        							388906000000,$                        							45719000000,109,5006000,0,"7687                        						
							km","203601                        						
							km","36000                        						
							bbl","175000                        						
							bbl","12100000                        						
							bbl","1523000000                        						
							Cu.M","9485000000                        						
							Cu.M","3738000000                        						
							Cu.M","5450000                        						
							Cu.M","6180000                        						
							mt","2909000000                        						
							Cu.M","103000                        						
							km","0                        						
							km","2106                        						
							km","1622                        						
							km",Tegucigalpa,"1,527,000",55
Honduras,9529188,4192843,3144632,95292,52225,60000,23000,40,4,7,10,10,1,0,8,0,11,614,0,32,0,98,,0,0,0,0,0,0,93,0,$                        							413635000,$                        							8805500000,$                        							68854000000,$                        							7543000000,129,4676000,8,"699                        						
							km","14742                        						
							km","20                        						
							bbl","67000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","190000                        						
							mt","0                        						
							Cu.M","112090                        						
							km","832                        						
							km","1575                        						
							km","465                        						
							km",Nouakchott,"1,492,000",101
